sample_label,async_total_ms,sync_total_ms,async_full_prefill_ms,async_incremental_prefill_ms,async_semi_prefill_ms,async_decode_ms,sync_full_prefill_ms,sync_incremental_prefill_ms,sync_semi_prefill_ms,sync_summary_prefill_ms,sync_summary_decode_ms,sync_decode_ms,async_overhead_pct,sync_overhead_pct
P0,1165570.4000000001,1225464.9500000002,3273.5,12024.300000000003,2028.6,1148244.0,3273.5,12024.300000000003,2028.6,13070.55,46824.0,1148244.0,0.17434698091637102,5.321953194977611
P1,1278235.85,1338926.0,3272.15,10928.4,2031.3,1262004.0,3272.15,10928.4,2031.3,13650.15,47040.0,1262004.0,0.15916727455641808,4.914686285987618
P10,1023040.1000000001,1083730.25,3272.45,10396.35,2031.3,1007340.0,3272.45,10396.35,2031.3,13650.15,47040.0,1007340.0,0.1989502930826845,6.143086132068596
P11,120213.45,120213.45,3271.7,793.75,0,116148.0,3271.7,793.75,0,0,0,116148.0,0.0,0.0
P2,1278915.6500000001,1352120.7500000002,3275.75,12588.55,2619.35,1260432.0,3275.75,12588.55,2619.35,17609.1,55596.0,1260432.0,0.205230556572169,5.94097546157581
P3,996684.9500000001,1050997.1,3276.35,10283.550000000001,1957.05,981168.0,3276.35,10283.550000000001,1957.05,12492.15,41820.0,981168.0,0.19674224478875077,5.656742914318579
P4,1025173.7000000001,1083977.9,3277.25,10759.800000000001,1876.6499999999999,1009260.0,3277.25,10759.800000000001,1876.6499999999999,13108.2,45696.0,1009260.0,0.18339249585445397,5.9299350076304815
P5,1344830.75,1420390.7,3273.7999999999997,13437.1,2647.85,1325472.0,3273.7999999999997,13437.1,2647.85,17683.949999999997,57876.0,1325472.0,0.1972793722822724,5.826910773486981
P6,985145.6,1037952.35,3273.5,10123.499999999998,2124.6,969624.0,3273.5,10123.499999999998,2124.6,12330.75,40476.0,969624.0,0.21612966559208807,5.588013887800972
P7,1106387.75,1166494.55,3272.2999999999997,11276.400000000001,2035.0500000000002,1089804.0,3272.2999999999997,11276.400000000001,2035.0500000000002,12766.8,47340.0,1089804.0,0.18427536782406564,5.626993079294324
P8,1171451.9000000001,1250991.35,3274.25,11745.55,2884.1,1153548.0,3274.25,11745.55,2884.1,16047.449999999999,63492.0,1153548.0,0.2468063898389122,7.053381926149258
P9,1246082.3,1329549.35,3271.85,12376.599999999999,2761.85,1227672.0,3271.85,12376.599999999999,2761.85,17095.05,66372.0,1227672.0,0.22213500952228366,6.935372131939115
