sample_id,sample_label,run_name,event,turn,step,A,B1,B2,C1,B2_C1,pre_prompt_tokens,post_prompt_tokens,semi_prefill_ms,summary_prefill_ms,summary_decode_ms,summary_generation_time_s,token_saving_pct
puzzle_0,P0,compressed,1,3,0,479.0,30106.0,1300.0,3074.0,4374.0,33659.0,4853.0,676.1,4515.9,15600.0,145.708,85.58186517721857
puzzle_0,P0,compressed,2,11,0,479.0,30368.0,1298.0,3074.0,4372.0,33922.0,4851.0,675.8,4555.2,15576.0,284.385,85.69954601733389
puzzle_0,P0,compressed,3,17,0,479.0,26663.0,1304.0,3074.0,4378.0,30216.0,4857.0,676.6999999999999,3999.45,15648.0,232.446,83.92573471008737
puzzle_1,P1,compressed,1,6,0,472.0,30375.0,1302.0,3074.0,4376.0,33922.0,4848.0,676.4,4556.25,15624.0,83.486,85.70838983550499
puzzle_1,P1,compressed,2,15,0,472.0,30251.0,1310.0,3074.0,4384.0,33797.0,4856.0,677.6,4537.65,15720.0,133.91,85.63186081604877
puzzle_1,P1,compressed,3,22,0,472.0,30375.0,1308.0,3074.0,4382.0,33922.0,4854.0,677.3,4556.25,15696.0,133.142,85.69070219916279
puzzle_10,P10,compressed,1,6,0,472.0,30375.0,1302.0,3074.0,4376.0,33922.0,4848.0,676.4,4556.25,15624.0,83.486,85.70838983550499
puzzle_10,P10,compressed,2,15,0,472.0,30251.0,1310.0,3074.0,4384.0,33797.0,4856.0,677.6,4537.65,15720.0,133.91,85.63186081604877
puzzle_10,P10,compressed,3,22,0,472.0,30375.0,1308.0,3074.0,4382.0,33922.0,4854.0,677.3,4556.25,15696.0,133.142,85.69070219916279
puzzle_2,P2,compressed,1,4,0,494.0,27154.0,850.0,3074.0,3924.0,30722.0,4418.0,608.6,4073.1,10200.0,117.066,85.6194258186316
puzzle_2,P2,compressed,2,10,0,494.0,29534.0,1114.0,3074.0,4188.0,33102.0,4682.0,648.1999999999999,4430.099999999999,13368.0,292.334,85.85583952631261
puzzle_2,P2,compressed,3,16,0,494.0,30353.0,1332.0,3074.0,4406.0,33922.0,4900.0,680.9,4552.95,15984.0,299.011,85.55509698720594
puzzle_2,P2,compressed,4,22,0,494.0,30353.0,1337.0,3074.0,4411.0,33922.0,4905.0,681.65,4552.95,16044.0,134.251,85.54035729025411
puzzle_3,P3,compressed,1,5,0,498.0,27518.0,912.0,3014.0,3926.0,31030.0,4424.0,608.9,4127.7,10944.0,44.593,85.74282951981954
puzzle_3,P3,compressed,2,13,0,498.0,28043.0,1275.0,3074.0,4349.0,31615.0,4847.0,672.35,4206.45,15300.0,89.519,84.66866993515735
