sample_id,sample_label,run_name,active,rounds,steps,n_compressions,compression_rate,first_context,max_context,accumulated_context,context_multiplier,output_tokens,timing_total_ms,classification_counts,delta_median,delta_mean,delta_min,delta_max,config,score_valid,score,error_type,baseline_ms,async_overhead_pct,sync_overhead_pct
puzzle_0,P0,compressed,True,25,50,3,0.12,21690.0,29706.0,477302.0,22.005624711848778,95687.0,7270452.239999998,"{""full_prefill"": 2, ""incremental"": 42, ""semi_prefill"": 6}",4613.0,3683.904761904762,1577.0,5380.0,"{""model"": ""Llama-3.3-70B-Instruct"", ""context_window"": 32000, ""threshold"": 30000, ""reserve_tokens"": 2000, ""keep_recent_tokens"": 2800, ""summary_max_tokens"": 1024, ""source"": ""/root/agentbench_semi_prefill_bench/config.py""}",,,,1163541.8,0.17434698091637102,5.321953194977611
puzzle_1,P1,compressed,True,25,50,3,0.12,21681.0,28440.0,459366.0,21.187491351874915,105167.0,8148283.509999999,"{""full_prefill"": 2, ""incremental"": 40, ""semi_prefill"": 8}",4704.0,3336.0,0.0,5647.0,"{""model"": ""Llama-3.3-70B-Instruct"", ""context_window"": 32000, ""threshold"": 30000, ""reserve_tokens"": 2000, ""keep_recent_tokens"": 2800, ""summary_max_tokens"": 1024, ""source"": ""/root/agentbench_semi_prefill_bench/config.py""}",,,,1276204.55,0.15916727455641808,4.914686285987618
puzzle_10,P10,compressed,True,25,50,3,0.12,21683.0,30294.0,498957.0,23.011437531706868,83945.0,2588581.5600000005,"{""full_prefill"": 2, ""incremental"": 42, ""semi_prefill"": 6}",2562.0,3167.095238095238,998.0,4793.0,"{""model"": ""Llama-3.3-70B-Instruct"", ""context_window"": 32000, ""threshold"": 30000, ""reserve_tokens"": 2000, ""keep_recent_tokens"": 2800, ""summary_max_tokens"": 1024, ""source"": ""/root/agentbench_semi_prefill_bench/config.py""}",,,,1021008.8,0.1989502930826845,6.143086132068596
puzzle_11,P11,compressed,True,3,6,0,0.0,21678.0,26703.0,78534.0,3.6227511763077773,9679.0,302279.58999999997,"{""full_prefill"": 2, ""incremental"": 4}",2512.5,2512.5,1149.0,3876.0,"{""model"": ""Llama-3.3-70B-Instruct"", ""context_window"": 32000, ""threshold"": 30000, ""reserve_tokens"": 2000, ""keep_recent_tokens"": 2800, ""summary_max_tokens"": 1024, ""source"": ""/root/agentbench_semi_prefill_bench/config.py""}",,,,120213.45,0.0,0.0
puzzle_2,P2,compressed,True,25,50,4,0.16,21705.0,29838.0,472201.0,21.755401981110342,105036.0,7311690.070000002,"{""full_prefill"": 2, ""incremental"": 40, ""semi_prefill"": 8}",4834.0,4062.85,1150.0,5074.0,"{""model"": ""Llama-3.3-70B-Instruct"", ""context_window"": 32000, ""threshold"": 30000, ""reserve_tokens"": 2000, ""keep_recent_tokens"": 2800, ""summary_max_tokens"": 1024, ""source"": ""/root/agentbench_semi_prefill_bench/config.py""}",,,,1276296.3,0.205230556572169,5.94097546157581
puzzle_3,P3,compressed,True,25,50,3,0.12,21709.0,29820.0,475188.0,21.888986134782808,81764.0,2538417.6600000006,"{""full_prefill"": 2, ""incremental"": 42, ""semi_prefill"": 6}",2217.0,3131.285714285714,823.0,4867.0,"{""model"": ""Llama-3.3-70B-Instruct"", ""context_window"": 32000, ""threshold"": 30000, ""reserve_tokens"": 2000, ""keep_recent_tokens"": 2800, ""summary_max_tokens"": 1024, ""source"": ""/root/agentbench_semi_prefill_bench/config.py""}",,,,994727.9,0.19674224478875077,5.656742914318579
puzzle_4,P4,compressed,True,25,50,3,0.12,21715.0,29626.0,500191.0,23.034354133087728,84105.0,2755902.4300000006,"{""full_prefill"": 2, ""incremental"": 42, ""semi_prefill"": 6}",4269.0,3282.4761904761904,808.0,5123.0,"{""model"": ""Llama-3.3-70B-Instruct"", ""context_window"": 32000, ""threshold"": 30000, ""reserve_tokens"": 2000, ""keep_recent_tokens"": 2800, ""summary_max_tokens"": 1024, ""source"": ""/root/agentbench_semi_prefill_bench/config.py""}",,,,1023297.05,0.18339249585445397,5.9299350076304815
puzzle_5,P5,compressed,True,25,50,4,0.16,21692.0,29158.0,477128.0,21.995574405310713,110456.0,3386944.7399999993,"{""full_prefill"": 2, ""incremental"": 40, ""semi_prefill"": 8}",4662.0,4345.7,1121.0,4881.0,"{""model"": ""Llama-3.3-70B-Instruct"", ""context_window"": 32000, ""threshold"": 30000, ""reserve_tokens"": 2000, ""keep_recent_tokens"": 2800, ""summary_max_tokens"": 1024, ""source"": ""/root/agentbench_semi_prefill_bench/config.py""}",,,,1342182.9,0.1972793722822724,5.826910773486981
puzzle_6,P6,compressed,True,25,50,3,0.12,21690.0,30220.0,469565.0,21.648916551406177,80802.0,2505294.4399999995,"{""full_prefill"": 2, ""incremental"": 42, ""semi_prefill"": 6}",2459.0,3080.4761904761904,1242.0,5160.0,"{""model"": ""Llama-3.3-70B-Instruct"", ""context_window"": 32000, ""threshold"": 30000, ""reserve_tokens"": 2000, ""keep_recent_tokens"": 2800, ""summary_max_tokens"": 1024, ""source"": ""/root/agentbench_semi_prefill_bench/config.py""}",,,,983021.0,0.21612966559208807,5.588013887800972
puzzle_7,P7,compressed,True,25,50,3,0.12,21682.0,29778.0,463284.0,21.367217046397933,90817.0,2801037.5399999996,"{""full_prefill"": 2, ""incremental"": 42, ""semi_prefill"": 6}",4387.0,3446.4761904761904,940.0,5142.0,"{""model"": ""Llama-3.3-70B-Instruct"", ""context_window"": 32000, ""threshold"": 30000, ""reserve_tokens"": 2000, ""keep_recent_tokens"": 2800, ""summary_max_tokens"": 1024, ""source"": ""/root/agentbench_semi_prefill_bench/config.py""}",,,,1104352.7,0.18427536782406564,5.626993079294324
