sample_id,sample_label,run_name,rounds,steps,compressions,compression_per_round,first_context_tokens,max_context_tokens,accumulated_context_tokens,context_vs_single_round,additional_prefill_tokens,additional_prefill_share_pct,timing_total_s,summary_generation_s,score_valid,score,error_type,tool_calls,has_trace,has_prompt_log,has_checkpoint
puzzle_0,P0,compressed,25,50,3,0.12,21690.0,29706.0,477302.0,22.005624711848778,13124.0,2.7496218327180695,7270.452239999999,662.539,,,,,True,True,False
puzzle_1,P1,compressed,25,50,3,0.12,21681.0,28440.0,459366.0,21.187491351874915,13142.0,2.8608995876926024,8148.28351,350.538,,,,,True,True,False
puzzle_10,P10,compressed,25,50,3,0.12,21683.0,30294.0,498957.0,23.011437531706868,13142.0,2.6338943035171365,2588.58156,350.538,,,,,True,True,False
puzzle_11,P11,compressed,3,6,0,0.0,21678.0,26703.0,78534.0,3.6227511763077773,0.0,0.0,302.27959,0,,,,,True,True,True
puzzle_2,P2,compressed,25,50,4,0.16,21705.0,29838.0,472201.0,21.755401981110342,16929.0,3.585125825654753,7311.690070000002,842.662,,,,,True,True,False
puzzle_3,P3,compressed,25,50,3,0.12,21709.0,29820.0,475188.0,21.888986134782808,12647.0,2.6614729328181688,2538.41766,267.749,,,,,True,True,False
puzzle_4,P4,compressed,25,50,3,0.12,21715.0,29626.0,500191.0,23.034354133087728,12111.0,2.421275072922144,2755.9024299999996,350.096,,,,,True,True,False
puzzle_5,P5,compressed,25,50,4,0.16,21692.0,29158.0,477128.0,21.995574405310713,17119.0,3.587926091111819,3386.94474,400.022,,,,,True,True,False
puzzle_6,P6,compressed,25,50,3,0.12,21690.0,30220.0,469565.0,21.648916551406177,13764.0,2.931223579270176,2505.2944399999997,284.03700000000003,,,,,True,True,False
puzzle_7,P7,compressed,25,50,3,0.12,21682.0,29778.0,463284.0,21.367217046397933,13167.0,2.8421011733623436,2801.0375399999994,249.731,,,,,True,True,False
puzzle_8,P8,compressed,25,50,4,0.16,21695.0,30176.0,446226.0,20.568149343166628,18694.0,4.189356962615356,2960.6183899999996,398.944,,,,,True,True,False
puzzle_9,P9,compressed,25,50,4,0.16,21679.0,28925.0,467365.0,21.55842059135569,17879.0,3.825489713607138,3151.8706300000003,419.80199999999996,,,,,True,True,False
